gene,is_xlinked,carrier_count_hkgi,sample_size_hkgi,carrier_rate_hkgi,carrier_rate_CI_Lower_hkgi,carrier_rate_CI_Upper_hkgi,carrier_count_chung,sample_size_chung,carrier_rate_chung,carrier_count_sg,carrier_rate_sg,sample_size_gnomAD-EAS,sample_size_gnomAD-NFE,sample_size_gnomAD-AMR,sample_size_gnomAD-AFR,carrier_rate_gnomAD-EAS,carrier_rate_gnomAD-NFE,carrier_rate_gnomAD-AMR,carrier_rate_gnomAD-AFR,acmg_tier_hkgi,acmg_tier_chung,acmg_tier_sg,acmg_tier_gnomAD-EAS,acmg_tier_gnomAD-NFE,acmg_tier_gnomAD-AMR,acmg_tier_gnomAD-AFR,tier_hkgi,tier_chung,tier_sg,tier_gnomAD-EAS,tier_gnomAD-NFE,tier_gnomAD-AMR,tier_gnomAD-AFR,at_risks_couples_count_hkgi,at_risks_couples_rate_hkgi,at_risks_birth_rate_hkgi,actual_at_risks_couples_count_hkgi,actual_at_risks_couples_rate_hkgi,actual_at_risks_child_count_hkgi,actual_at_risks_positive_child_count_hkgi,actual_at_risks_birth_rate_hkgi,Is in NGS dead zone,Found in ClinGen with AR inheritance but missing in OMIM,OMIM/ClinGen AR Phenotype,AFR Exomes GCF,AFR Genomes GCF,AFR combined GCF,AMR Exomes GCF,AMR Genomes GCF,AMR Combined  GCF,ASJ Exomes GCF,ASJ Genomes GCF,ASJ Combined GCF,EAS Exomes GCF,EAS Genomes GCF,EAS Combined GCF,FIN Exomes GCF,FIN Genomes GCF,FIN Combined GCF,MID Exomes GCF,MID Genomes GCF,NFE Exomes GCF,NFE Genomes GCF,NFE Combined GCF,SAS Exomes GCF,SAS Genomes GCF,SAS Combined GCF,ACMG carrier screening list,FINDIS,Comments,MAX AF,Known technical challenges,>90% GCF contributed by a single variant with variant based GCF >0.5% (suppl table 9)
LARS2,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,,0.001352,0.000916,0.000675,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Perrault syndrome 4, 615300 (3), Autosomal recessive; Hydrops, lactic acidosis, and sideroblastic anemia, 617021 (3), Autosomal recessive",0.000292,0.000675,0.000707,0.001254,0.000916,0.001282,0.000077,ND,0.000077,0.000252,ND,0.000252,ND,0.000189,0.000189,0.000347,ND,0.001364,0.001352,0.001404,0.0016,0.001245,0.001592,0,0,0,0.001600108,0,0
CEP78,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,4,0.000727,22448,590031,30019,37545,0.001538,0.000382,0.000262,0.000434,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Cone-rod dystrophy and hearing loss, 617236 (3), Autosomal recessive",0.000703,0.000434,0.000687,0.00055,0.000262,0.000595,ND,ND,ND,0.000213,0.001538,0.000382,0.00035,0.000188,0.000356,ND,ND,0.000438,0.000382,0.000526,0.000151,0.000415,0.000566,0,0,0,0.001538462,0,0
WNT10A,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,2,0.000364,22448,590031,30019,37545,0.000772,0.004234,0.000523,0.000818123,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Schopf-Schulz-Passarge syndrome, 224750 (3), Autosomal recessive; Tooth agenesis, selective, 4, 150400 (3), Autosomal recessive; Odontoonychodermal dysplasia, 257980 (3), Autosomal recessive",0.000784096,0.000818123,0.00107,0.000711,0.000523,0.000884,0.000077,ND,0.000077,0.000302,0.000772,0.000709,0.000316,0.000188,0.000322,ND,ND,0.004731,0.004234,0.004783,0.001097,0.00207,0.001168,0,0,0,0.004783181,0,0
SGSH,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,6,0.00109,22448,590031,30019,37545,0.001156,0.004909,0.002355,0.001302,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Mucopolysaccharidosis type IIIA (Sanfilippo A), 252900 (3), Autosomal recessive",0.00095,0.001302,0.001685,0.001984,0.002355,0.00238,0.00023,ND,0.00023,0.000909,0.001156,0.001717,0.001277,0.000941,0.001434,0.00051,0.006803,0.004785,0.004909,0.004915,0.001633,0.000827,0.001651,0,0,0,0.006802721,0,0
IL10RA,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,0.001156,0.000206,0.000262,0.000097,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3), Autosomal recessive",ND,0.000097,0.000097,0.000046,0.000262,0.000307,ND,ND,ND,0.000856,0.001156,0.001244,0.000113,ND,0.000113,ND,ND,0.000355,0.000206,0.000352,0.000057,ND,0.000057,0,0,0,0.001243996,0,0
MTRFR,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,,0.000941,0.000262,0.000048,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Spastic paraplegia 55, autosomal recessive, 615035 (3), Autosomal recessive; Combined oxidative phosphorylation deficiency 7, 613559 (3), Autosomal recessive",0.000239,0.000048,0.000166,0.000089,0.000262,0.000351,ND,ND,ND,0.000202,ND,0.000202,0.002172,0.003394,0.00238,ND,ND,0.000866,0.000941,0.000873,0.000023,ND,0.000023,0,0,0,0.003393665,0,0
RTN4IP1,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,0.000385,0.000441,,0.000241,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Optic atrophy 10 with or without ataxia, impaired intellectual development and seizures, 616732 (3), Autosomal recessive",0.000366,0.000241,0.000498,0.000093,ND,0.000093,ND,ND,ND,0.000756,0.000385,0.000772,0.000037,ND,0.000037,0.000696,ND,0.000377,0.000441,0.000385,0.001183,0.001656,0.001215,0,0,0,0.001655629,0,0
ATR,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,,0.000649,0.000131,0.000778,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Seckel syndrome 1, 210600 (3), Autosomal recessive",0.005008,0.000778,0.002801,0.009433,0.000131,0.009564,0.003312,ND,0.003312,0.002177,ND,0.002177,0.002847,0.000385,0.002502,0.001153,ND,0.002348,0.000649,0.002406,0.005308,0.000419,0.005276,0,0,0,0.009563668,0,0
FAM20C,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Raine syndrome, 259775 (3), Autosomal recessive",ND,ND,ND,ND,ND,ND,ND,ND,ND,0.000118,ND,0.000118,ND,ND,ND,ND,ND,0.000054,ND,0.000054,0.000253,ND,0.000253,0,0,0,0.000252659,0,0
TRIP4,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,14,0.00254,22448,590031,30019,37545,0.002306,0.000353,0.000655,0.000482,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Spinal muscular atrophy with congenital bone fractures 1, 616866 (3), Autosomal recessive",0.000425,0.000482,0.000668,0.000314,0.000655,0.000412,ND,ND,ND,0.000763,0.002306,0.00095,0.000599,0.000189,0.000544,ND,ND,0.000269,0.000353,0.000277,0.000139,0.000415,0.00016,0,0,0,0.002305919,0,0
MCCC2,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,7,0.00127,22448,590031,30019,37545,0.001156,0.003352,0.00628,0.001303,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3), Autosomal recessive",0.001852,0.001303,0.001841,0.007648,0.00628,0.00774,0.005281,0.005185,0.005297,0.001991,0.001156,0.001967,0.000487,0.000192,0.000463,0.031933,0.034014,0.003082,0.003352,0.003147,0.001848,0.001658,0.002294,yes,0,"Single variant contributes >90% of GCF (MID), see suppl table 9",0.034013605,0,yes (MID)
PDE6A,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,16,0.00291,22448,590031,30019,37545,0.001154,0.001735,0.000655,0.001301,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,TRUE,"Inherited retinal dystrophy, Autosomal recessive",0.00095,0.001301,0.001505,0.002294,0.000655,0.002211,ND,ND,ND,0.00126,0.001154,0.001653,0.000225,0.000754,0.00049,0.001387,ND,0.001791,0.001735,0.001808,0.001629,0.003321,0.001753,0,0,0,0.003321227,0,0
TK2,FALSE,21,18065,0.00116,0.000665571,0.001659367,,,,,,22448,590031,30019,37545,,0.001147,0.005886,0.00106,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,210,1.29E-06,3.22E-07,0,0,,,,FALSE,FALSE,"Mitochondrial DNA depletion syndrome 2 (myopathic type), 609560 (3), Autosomal recessive",0.000956,0.00106,0.001298,0.002395,0.005886,0.003439,0.001224,0.001153,0.001216,0.001013,ND,0.001013,0.003748,0.003587,0.003747,ND,ND,0.000843,0.001147,0.000874,0.000951,0.000828,0.000956,0,0,0,0.005885607,0,0
NBAS,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,,,22448,590031,30019,37545,0.001158,0.002913,0.001344,0.001207,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Short stature, optic nerve atrophy, and Pelger-Huet anomaly, 614800 (3), Autosomal recessive; Infantile liver failure syndrome 2, 616483 (3), Autosomal recessive",0.001264,0.001207,0.001769,0.001804,0.001344,0.002144,0.000154,ND,0.000154,0.000731,0.001158,0.000853,0.003184,0.003206,0.003194,0.001734,ND,0.002353,0.002913,0.002586,0.000991,0.00083,0.001423,0,0,0,0.003206302,0,0
ASNS,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,,,22448,590031,30019,37545,0.000771,0.000441,0.000262,0.000868,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Asparagine synthetase deficiency, 615574 (3), Autosomal recessive",0.000592,0.000868,0.000979,0.00036,0.000262,0.000622,ND,ND,ND,0.000605,0.000771,0.000677,0.000075,ND,0.000075,0.00074,ND,0.000538,0.000441,0.000554,0.000313,ND,0.000313,0,0,0,0.000979414,0,0
TRAPPC11,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,10,0.00182,22448,590031,30019,37545,,0.000559,0.000262,0.000531,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Muscular dystrophy, limb-girdle, autosomal recessive 18, 615356 (3), Autosomal recessive",0.0003,0.000531,0.000569,0.000492,0.000262,0.000623,0.000077,ND,0.000077,0.001019,ND,0.001019,0.000262,0.000189,0.000275,0.001176,ND,0.000569,0.000559,0.000576,0.000426,ND,0.000426,0,0,0,0.001176123,0,0
ALG1,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,,,22448,590031,30019,37545,0.000386,0.002087,0.000916,0.000917,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Congenital disorder of glycosylation, type Ik, 608540 (3), Autosomal recessive",0.000359,0.000917,0.000928,0.000763,0.000916,0.00126,0.004381,0.004036,0.005368,0.00061,0.000386,0.000996,0.000262,0.000377,0.000438,0.00083,ND,0.002686,0.002087,0.002753,0.000336,ND,0.000336,0,0,0,0.005368476,0,0
SUMF1,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,,,22448,590031,30019,37545,,0.000912,0.000393,0.001495,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Multiple sulfatase deficiency, 272200 (3), Autosomal recessive",0.001116,0.001495,0.001448,0.000316,0.000393,0.000589,0.003903,0.005187,0.004054,0.000207,ND,0.000207,0.000037,ND,0.000037,ND,ND,0.000731,0.000912,0.000778,0.000465,0.001241,0.000514,0,0,0,0.00518732,0,0
BCKDHA,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,9,0.00164,22448,590031,30019,37545,0.000771,0.001911,0.000786,0.001014,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Maple syrup urine disease, type Ia, 248600 (3), Autosomal recessive",0.000837,0.001014,0.001484,0.001075,0.000786,0.001139,0.000153,ND,0.000153,0.000816,0.000771,0.001587,0.000413,0.000377,0.000438,0.000707,ND,0.001268,0.001911,0.001337,0.00108,0.000414,0.001119,0,0,0,0.001911376,0,0
RYR1,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,6,0.00109,22448,590031,30019,37545,0.002701,0.003605,0.002227,0.002896,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Neuromuscular disease, congenital, with uniform type 1 fiber, 117000 (3), Autosomal recessive; Central core disease, 117000 (3), Autosomal recessive; Minicore myopathy with external ophthalmoplegia, 255320 (3), Autosomal recessive",0.004287,0.002896,0.00469,0.002481,0.002227,0.004162,0.006557,0.00749,0.00679,0.001638,0.002701,0.003284,0.001737,0.001509,0.002051,0.000347,ND,0.003257,0.003605,0.003664,0.002152,0.002084,0.003014,0,0,0,0.007490139,0,0
MARS1,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,,,22448,590031,30019,37545,,0.000118,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Interstitial lung and liver disease, 615486 (3), Autosomal recessive",0.00006,ND,0.00006,ND,ND,ND,ND,ND,ND,0.001713,ND,0.001713,0.000749,0.000753,0.000756,ND,ND,0.000121,0.000118,0.000122,0.000023,ND,0.000023,0,0,0,0.00171292,0,0
LAMB3,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,6,0.00109,22448,590031,30019,37545,0.000385,0.003616,0.000262,0.00164,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Epidermolysis bullosa, junctional 1B, severe, 226700 (3), Autosomal recessive; Epidermolysis bullosa, junctional 1A, intermediate, 226650 (3), Autosomal recessive",0.003971,0.00164,0.004415,0.000723,0.000262,0.000876,0.000308,ND,0.000308,0.000514,0.000385,0.000899,0.000899,0.000377,0.000887,0.001581,ND,0.003028,0.003616,0.003202,0.001789,0.000414,0.001801,0,0,0,0.004414766,0,0
GRHPR,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,6,0.00109,22448,590031,30019,37545,0.002308,0.001558,0.000523,0.001158,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Hyperoxaluria, primary, type II, 260000 (3), Autosomal recessive",0.001078,0.001158,0.001309,0.000405,0.000523,0.000928,0.000077,ND,0.000077,0.001124,0.002308,0.001638,0.000301,ND,0.000301,0.000694,ND,0.001912,0.001558,0.001903,0.002704,0.004551,0.002839,0,0,0,0.004551268,0,0
RDH12,FALSE,20,18065,0.00111,0.000622177,0.001592049,,,,5,0.000909,22448,590031,30019,37545,0.001542,0.001558,0.002877,0.000964,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,190,1.16E-06,2.91E-07,0,0,,,,FALSE,FALSE,"Leber congenital amaurosis 13, 612712 (3), Autosomal recessive",0.001375,0.000964,0.001608,0.001834,0.002877,0.002655,0.000153,ND,0.000153,0.000958,0.001542,0.001118,0.00016,0.000189,0.000348,0.000364,ND,0.001642,0.001558,0.001686,0.001212,0.000414,0.001227,0,0,0,0.002877426,0,0
RAB27A,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,,,22448,590031,30019,37545,,0.000647,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Griscelli syndrome, type 2, 607624 (3), Autosomal recessive",0.00018,ND,0.00018,0.001029,ND,0.001029,ND,ND,ND,0.000151,ND,0.000151,0.000037,ND,0.000037,0.004527,ND,0.000567,0.000647,0.00058,0.000371,ND,0.000371,0,0,0,0.004527157,0,0
EVC,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,5,0.000909,22448,590031,30019,37545,0.001157,0.001222,0.000262,0.0014,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Ellis-van Creveld syndrome, 225500 (3), Autosomal recessive",0.001571,0.0014,0.002043,0.000625,0.000262,0.000778,0.00023,0.001152,0.000338,0.000317,0.001157,0.001475,0.000524,0.002262,0.000818,0.00104,ND,0.001229,0.001222,0.001381,0.001075,0.000414,0.001098,0,0,0,0.002262017,0,0
WWOX,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,,,22448,590031,30019,37545,0.00193,0.000382,0.000393,0.000193106,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Esophageal squamous cell carcinoma, somatic, 133239 (3); Developmental and epileptic encephalopathy 28, 616211 (3), Autosomal recessive; Spinocerebellar ataxia, autosomal recessive 12, 614322 (3), Autosomal recessive",0.000232514,0.000193106,0.000426,0.000446,0.000393,0.000512,0.000306,0.000576,0.000347,0.000921,0.00193,0.001804,ND,ND,ND,0.001041,ND,0.000424,0.000382,0.000444,0.000382,ND,0.000382,0,0,0,0.001929762,0,0
CTC1,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,9,0.00164,22448,590031,30019,37545,0.001158,0.002236,0.004449,0.001013,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive",0.001422,0.001013,0.001602,0.003723,0.004449,0.004196,0.000612,0.000576,0.000608,0.000769,0.001158,0.000851,0.017346,0.020191,0.017834,0.001141,0.013605,0.002371,0.002236,0.002384,0.00109,0.000414,0.001108,0,0,0,0.020190693,0,0
ZMPSTE24,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,,,22448,590031,30019,37545,0.001927,0.001563,0.000263,0.000388688,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive; Restrictive dermopathy 1, 275210 (3), Autosomal recessive",0.000301787,0.000388688,0.000436,0.000723,0.000263,0.000664,0.000851,0.000576,0.000864,0.001948,0.001927,0.00204,0.001014,0.000565,0.000977,ND,ND,0.001359,0.001563,0.001376,0.000667,0.001252,0.000703,0,0,0,0.002040341,0,0
TRAPPC9,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,4,0.000727,22448,590031,30019,37545,0.000773,0.000588,0.000655,0.00029,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Intellectual developmental disorder, autosomal recessive 13, 613192 (3), Autosomal recessive",0.000307,0.00029,0.000409,0.001456,0.000655,0.001474,ND,ND,ND,0.000106,0.000773,0.00019,ND,ND,ND,0.000699,ND,0.000525,0.000588,0.000571,0.000413,0.000414,0.000434,0,0,0,0.00147353,0,0
SELENON,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,6,0.00109,22448,590031,30019,37545,0.000386,0.002787,0.000785,0.002899,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive; Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive",0.003127,0.002899,0.003079,0.000706,0.000785,0.000974,0.00292,0.001728,0.002871,0.003004,0.000386,0.003043,0.000488,0.001108,0.001219,0.000347,ND,0.002726,0.002787,0.002901,0.001098,0.001656,0.001146,0,0,0,0.003127054,0,0
COL17A1,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,,,22448,590031,30019,37545,0.001158,0.001264,0.001046,0.002219,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Epidermolysis bullosa, junctional 4, intermediate, 619787 (3), Autosomal recessive",0.002987,0.002219,0.002747,0.000626,0.001046,0.001255,0.00023,ND,0.00023,0.001005,0.001158,0.001457,0.00075,0.000188,0.00075,0.000459,ND,0.000994,0.001264,0.001054,0.001021,0.001244,0.001063,0,0,0,0.002987442,0,0
CABP4,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,,,22448,590031,30019,37545,0.000774,0.000559,0.000392,0.000338,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Cone-rod synaptic disorder, congenital nonprogressive, 610427 (3), Autosomal recessive",0.000417,0.000338,0.000568,0.000652,0.000392,0.000839,0.000271,ND,0.000271,0.000303,0.000774,0.000717,0.000474,ND,0.000474,0.000974,ND,0.000737,0.000559,0.000736,0.000258,ND,0.000258,0,0,0,0.00097371,0,0
STAR,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,5,0.000909,22448,590031,30019,37545,0.000773,0.000823,0.000785,0.000483,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Lipoid adrenal hyperplasia, 201710 (3), Autosomal recessive",0.000412,0.000483,0.00071,0.001434,0.000785,0.001955,0.000077,ND,0.000077,0.002748,0.000773,0.00352,0.001921,0.002261,0.001996,0.000347,ND,0.00067,0.000823,0.000827,0.000929,0.000828,0.000963,0,0,0,0.003520395,0,0
PRG4,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,14,0.00254,22448,590031,30019,37545,,0.000235,0.000658,0.000437,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, 208250 (3), Autosomal recessive",0.0003,0.000437,0.00053,0.000092,0.000658,0.000529,ND,ND,ND,0.000101,ND,0.000101,0.000037,ND,0.000037,0.001487,ND,0.000299,0.000235,0.000308,0.000418,0.000415,0.000428,0,0,0,0.001487498,0,0
AP4B1,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,5,0.000909,22448,590031,30019,37545,0.000384,0.000706,0.000131,0.000917,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Spastic paraplegia 47, autosomal recessive, 614066 (3), Autosomal recessive",0.000471,0.000917,0.001131,0.000453,0.000131,0.000584,0.001913,0.004616,0.002239,0.000262,0.000384,0.000647,0.000041,0.000377,0.0001,0.001235,ND,0.000481,0.000706,0.000499,0.000753,0.000415,0.000763,0,0,0,0.004615607,0,0
FBP1,FALSE,19,18065,0.00105,0.000579087,0.001524428,,,,4,0.000727,22448,590031,30019,37545,,0.000324,0.001576,0.000774,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,171,1.05E-06,2.62E-07,0,0,,,,FALSE,FALSE,"Fructose-1,6-bisphosphatase deficiency, 229700 (3), Autosomal recessive",0.000179,0.000774,0.000606,0.000405,0.001576,0.000714,0.000248,ND,0.000248,0.001013,ND,0.001013,0.000112,ND,0.000112,0.000347,ND,0.000463,0.000324,0.000484,0.002278,0.001243,0.002664,0,0,0,0.002663759,0,0
